"Network ID","Network Name","Native ID","Station ID","Station Name","History ID","Province","Longitude","Latitude","Elevation (m)","Record Start","Record End","Obs Freq","Variables"
"1","EC","1010066","1","ACTIVE PASS","404","BC","-123.283333","48.866667","4","1984-07-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1010774","2","BEAVER LAKE","405","BC","-123.35","48.5","61","1894-12-01","1952-06-30","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1010960","3","BRENTWOOD BAY 2","406","BC","-123.466667","48.6","38","1987-11-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1010961","4","BRENTWOOD CLARKE ROAD","407","BC","-123.45","48.566667","31","1972-05-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount"
"1","EC","1010965","5","BRENTWOOD W SAANICH RD","408","BC","-123.433333","48.566667","91","1960-08-01","1970-06-30","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1011467","6","CENTRAL SAANICH VEYANESS","409","BC","-123.416667","48.583333","53","1963-12-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","10114F6","7","CENTRAL SAANICH ISL VIEW","410","BC","-123.3921","48.57334","38","1970-03-01","2008-06-23","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","10114FF","8","CENTRAL SAANICH TANNER","411","BC","-123.4","48.55","88","1966-05-01","1968-07-31","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1011743","9","COBBLE HILL","412","BC","-123.6","48.683333","99","1990-11-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1011745","10","COBBLE HILL DELOUME ROAD","413","BC","-123.566667","48.65","61","1970-04-28","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1011775","11","COLE BAY","414","BC","-123.4","48.65","37","1923-10-01","1942-03-31","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1011810","12","COLWOOD HATLEY DR","415","BC","-123.483333","48.416667","76","1981-01-01","2001-01-31","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1012052","13","COWICHAN LAKE NITINAT","416","BC","-124.483333","48.933333","189","1959-07-02","1962-09-30","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1012190","14","CROFTON","417","BC","-123.666667","48.816667","31","1921-01-01","1968-12-31","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1012566","15","DUNCAN EAST","418","BC","-123.683333","48.783333","8","1960-02-12","1964-11-30","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1012656","16","ELK LAKE 2","419","BC","-123.383333","48.533333","53","1980-11-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1012883","17","FINLAYSON ARM RD","420","BC","-123.533333","48.5","168","1976-04-01","1977-09-30","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","10130DE","18","GALIANO ISL BURRILL PT","421","BC","-123.316667","48.866667","2","1970-04-01","1970-08-31","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1013240","19","GOLDSTREAM LAKE","422","BC","-123.55","48.45","459","1894-07-01","1953-03-31","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1013241","20","GOLDSTREAM MEADOWS","423","BC","-123.533333","48.616667","64","1976-04-15","1976-06-30","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1013519","21","HONEYMOON BAY NORTHWEST","424","BC","-124.2","48.833333","170","1989-06-01","2003-01-31","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1015107","22","METCHOSIN HAPPY VALLEY","425","BC","-123.533333","48.416667","76","1970-03-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1015150","23","MILLSTREAM","426","BC","-123.55","48.483333","213","1926-09-01","1941-05-31","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1015242","24","MUIR CREEK 1W","427","BC","-123.883333","48.383333","30","1970-03-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1015628","25","NORTH COWICHAN","428","BC","-123.7197","48.82472","45.7","1981-03-01","2022-03-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","1016169","26","PIERS ISLAND","429","BC","-123.416667","48.7","17","1973-06-01","2001-01-01","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
"1","EC","10169MK","27","SAANICH OLDFIELD","430","BC","-123.416667","48.55","70","1965-09-01","1966-03-31","Daily","Precipitation Amount|Rainfall Amount|Snowfall Amount"
"1","EC","1016RM0","28","SAANICHTON MT NEWTON","431","BC","-123.4272","48.5975","42.7","1980-08-01","2022-03-03","Daily","Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)"
